#,method,algorithm,train,Test 1 Precision,Test 1 Recall,Test 1 F1,Test 1 Accuracy,Test 2 Precision,Test 2 Recall,Test 2 F1,Test 2 Accuracy
1.a.i,Machine learning,TF-IDF + Logistic Regression,Train / 5-fold CV,0.72,0.74,0.72,0.7354,0.56,0.43,0.43,0.4254
1.a.ii,Machine learning,TF-IDF + Balanced MLPClassifier,Train / 5-fold CV,0.73,0.67,0.69,0.6742,0.54,0.43,0.45,0.4291
2.a,Shallow Deep learning,CNN / Improved,TRAIN,0.67,0.7,0.65,0.699,0.56,0.6,0.54,0.6007
3.a,Transformers,BERTić,TRAIN,0.84,0.84,0.84,0.836,0.72,0.74,0.73,0.7351
3.b,GenAI / Zero-shot,GENAI Gemma3,Zero-shot,0.79,0.73,0.73,0.7252,0.58,0.51,0.54,0.5093
